rank,asin,url,title,brand,price,price_text,rating,review_count,date_first_available_raw,bsr_rank_text,style_category,color_variant_count,date_parsed,year,month,month_name,style
1,B07BJ83S2Q,https://www.amazon.com/dp/B07BJ83S2Q,Amazon Essentials Women's Lightweight Crewneck Cardigan Sweater (Available in Plus Size),Amazon Essentials,47.5,"$15
80",4.4,18765,"June 2, 2020",,Cardigan,15,2020-06-02,2020,6,June,Cardigan
2,B0CY29GF1H,https://www.amazon.com/dp/B0CY29GF1H,Arach&Cloz Women's Lightweight Wool Blend Short Sleeve Sweater Top Business Casual,Arach&Cloz,59.0,"$19
99",4.6,2692,"March 14, 2024",#141 in Clothing,Other Sweater,15,2024-03-14,2024,3,March,Short Sleeve Sweater
3,B07F2HXZ4Y,https://www.amazon.com/dp/B07F2HXZ4Y,Amazon Essentials Women's Lightweight Long Sleeve Open-Front Cardigan Sweater (Available in Plus Size),Amazon Essentials,25.0,"$10
40",4.4,27442,"May 1, 2025",,Cardigan,15,2025-05-01,2025,5,May,Cardigan
4,B0CKSXYP3L,https://www.amazon.com/dp/B0CKSXYP3L,GRECERELLE Women's Long Sleeve V-Neck Button Down Cardigan Knit Shrugs Sweater,GRECERELLE,56.5,"$14
99",4.6,6126,"January 4, 2018",#331 in Clothing,Cardigan,14,2018-01-04,2018,1,January,Cardigan
5,B0DC9Y7CRT,https://www.amazon.com/dp/B0DC9Y7CRT,Tankaneo Womens V Neck Tank Tops 2026 Sleeveless Ribbed Knit Shirts Summer Casual Sexy Sweater Vest,Tankaneo,56.5,"$14
99",4.3,1125,"December 26, 2023",#207 in Clothing,V-Neck,14,2023-12-26,2023,12,December,V-Neck Sweater
6,B0FF28JKR7,https://www.amazon.com/dp/B0FF28JKR7,Yincro Womens Lightweight Cardigan Long Sleeve Open Front Casual Sweater Cardigans with Pockets,Yincro,53.5,"$9
98",4.5,1615,"July 14, 2025",#539 in Clothing,Cardigan,11,2025-07-14,2025,7,July,Cardigan
7,B07TSY85ZZ,https://www.amazon.com/dp/B07TSY85ZZ,Omoone Women's 3/4 Sleeve Modern Denim Crop Top Tie Knot Shirt Cardigan,Omoone,59.5,"$23
96",4.3,9193,"June 29, 2019",#708 in Clothing,Cardigan,15,2019-06-29,2019,6,June,Cardigan
8,B0F8HSFBSC,https://www.amazon.com/dp/B0F8HSFBSC,"LETDIOSTO Cropped Cardigan Bolero Shrug for Women, Button Down Long Sleeve Knit Sweater for Dresses,for Jeans, XS to XL",LETDIOSTO,59.0,"$19
99",4.6,767,"May 13, 2025",#804 in Clothing,Cardigan,15,2025-05-13,2025,5,May,Cardigan
9,B0CYZWTPZQ,https://www.amazon.com/dp/B0CYZWTPZQ,Kate Kasin Women Short Sleeve Polo Sweater V Neck Knitted Tops Casual Ribbed Shirt Loose Pullover Sweater,Kate Kasin,57.0,"$18
96",4.4,1638,"March 11, 2022",#554 in Clothing,Pullover / Crew Neck,15,2022-03-11,2022,3,March,V-Neck Sweater
10,B0FK9TTRY1,https://www.amazon.com/dp/B0FK9TTRY1,RUMIA Short Sleeve Sweaters for Women Lightweight Loose Business Casual Tops (XS-XXL),RUMIA,55.0,"$11
99",4.5,87,"March 13, 2026",#809 in Clothing,Oversized / Chunky,14,2026-03-13,2026,3,March,Short Sleeve Sweater
11,B0FSRGPMNJ,https://www.amazon.com/dp/B0FSRGPMNJ,Dokotoo Womens Summer Short Sleeve Crochet Tops Hollow Out Floral Beach Vacation Clothes Cruise Outfits,Dokotoo,56.5,"$14
99",4.5,256,"November 16, 2025",#873 in Clothing,Other Sweater,15,2025-11-16,2025,11,November,Short Sleeve Sweater
12,B07F28R9CN,https://www.amazon.com/dp/B07F28R9CN,Amazon Essentials Women's Lightweight V-Neck Cardigan Sweater,Amazon Essentials,11.0,"$12
10",4.4,24435,"November 22, 2019",,Cardigan,15,2019-11-22,2019,11,November,Cardigan
13,B0F23LBKY4,https://www.amazon.com/dp/B0F23LBKY4,WIHOLL Short Sleeve Sweater for Women V Neck Trendy Summer Tops 2026 Beach Vacation Clothes Travel Business Casual Outfits,WIHOLL,55.5,"$12
99",4.5,1474,"March 14, 2025",#865 in Clothing,V-Neck,14,2025-03-14,2025,3,March,V-Neck Sweater
14,B0B82XNJDF,https://www.amazon.com/dp/B0B82XNJDF,GRACE KARIN Womens Long Sleeve Knit Cardigan Sweaters Casual Dressy Open Front Button Down Cardigans Spring Outfits,GRACE KARIN,59.0,"$19
99",4.5,2660,"April 1, 2021","#1,036 in Clothing",Cardigan,13,2021-04-01,2021,4,April,Cardigan
15,B0FV87WNGK,https://www.amazon.com/dp/B0FV87WNGK,OFEEFAN Short Sleeve Sweater for Women V Neck Lightweight Sweaters Fashion Clothing Business Casual Outfits,OFEEFAN,55.5,"$12
99",4.4,143,"December 4, 2025","#1,048 in Clothing",V-Neck,14,2025-12-04,2025,12,December,V-Neck Sweater
16,B0BQW1FWXK,https://www.amazon.com/dp/B0BQW1FWXK,Saodimallsu Womens Summer Cap Sleeve Tops Casual Crew Neck Loose Fit Knit Lightweight Sweater Pullover Top,Saodimallsu,54.0,"$9
99",4.4,2837,"December 22, 2022","#1,168 in Clothing",Pullover / Crew Neck,13,2022-12-22,2022,12,December,Pullover/Crew Neck
17,B0DCW38YR7,https://www.amazon.com/dp/B0DCW38YR7,Trendy Queen Cropped Cardigan Sweaters for Women Lightweight Y2k Fall Outfits Spring Fashion Clothes 2026,Trendy Queen,64.0,"$29
99",4.5,1177,"August 12, 2024","#1,451 in Clothing",Cardigan,15,2024-08-12,2024,8,August,Cardigan
18,B0DPX85FYF,https://www.amazon.com/dp/B0DPX85FYF,Saodimallsu Womens Spring Oversized Cardigans Batwing Short Sleeve Lightweight Button V Neck Casual Knit Sweater Tops,Saodimallsu,37.0,"$25
49",4.4,766,"January 17, 2025","#1,581 in Clothing",Cardigan,14,2025-01-17,2025,1,January,Cardigan
