rank,asin,url,title,brand,price,price_text,rating,review_count,date_first_available_raw,style_category,fit_type,sleeve_type,color_variant_count
1,B0BVFNPSGN,https://www.amazon.com/dp/B0BVFNPSGN,Trendy Queen Womens Short Sleeve T Shirts - Buttery Soft Summer Crop Tops Slim Fit Y2k Basic Tees for Workout,Trendy Queen,9.99,$9.99,4.5,5543,"February 10, 2023",Crop Top,Fitted/Slim,Crop,13
2,B0CYC5GDYP,https://www.amazon.com/dp/B0CYC5GDYP,Trendy Queen Womens Stretchy Soft Opaque Basic T Shirts - Slim Fit Short Sleeve Y2k Cute Summer Crop Workout Tops,Trendy Queen,7.99,$7.99,4.5,4228,"March 18, 2024",Crop Top,Fitted/Slim,Crop,13
3,B0G3WJZNZN,https://www.amazon.com/dp/B0G3WJZNZN,Zeagoo Womens Tops Summer Casual Cap Sleeve Tshirts Shirts Business Dressy Spring Fashion Outfits Trendy Clothes,Zeagoo,6.79,$6.79,4.6,721,"November 25, 2025",Basic / Essential Tee,Regular,Short Sleeve,12
4,B0BPYCHYP9,https://www.amazon.com/dp/B0BPYCHYP9,Trendy Queen Womens Oversized Summer T Shirts Plus Size Spring Cute Casual Tops Short Sleeves Fashion Workout Clothes,Trendy Queen,8.49,$8.49,4.5,6825,"December 13, 2022",Oversized / Relaxed Fit,Loose/Oversized,Short Sleeve,13
5,B0DJJMW21W,https://www.amazon.com/dp/B0DJJMW21W,ANRABESS Womens Short Sleeve Henley Tops V Neck Dressy Casual Blouses Summer Trendy Tee Shirts 2026 Vacation Fashion Clothes,ANRABESS,9.99,$9.99,4.5,9807,"November 19, 2024",V-Neck T-Shirt,Regular,Short Sleeve,13
6,B07762TMMM,https://www.amazon.com/dp/B07762TMMM,"Amazon Essentials Women's Regular-Fit Short-Sleeve T-Shirt (Crewneck and V-Neck Options), Multipacks",Amazon Essentials,11.3,$11.30,4.4,110858,"October 7, 2025",V-Neck T-Shirt,Regular,Short Sleeve,14
7,B0DQYB2HNW,https://www.amazon.com/dp/B0DQYB2HNW,Trendy Queen Womens Off the Shoulder Tops Oversized T-Shirts Short Sleeve Tees Summer 2026 Casual Spring Clothes,Trendy Queen,12.99,$12.99,4.4,1627,"December 19, 2024",Oversized / Relaxed Fit,Loose/Oversized,Short Sleeve,13
8,B07611Y7N7,https://www.amazon.com/dp/B07611Y7N7,"Gildan Adult Ultra Cotton T-Shirt, Style G2000, Multipack",Gildan,10.25,$10.25,4.5,111192,"August 17, 2021",Basic / Essential Tee,Regular,Short Sleeve,12
9,B0D31745W4,https://www.amazon.com/dp/B0D31745W4,AUTOMET Womens V Neck T Shirts Spring Summer Cap Sleeve Basic Tees Trendy Cute Tops for Work Dressy Casual Beach Vacation,AUTOMET,7.98,$7.98,4.5,3097,"March 19, 2024",V-Neck T-Shirt,Regular,Short Sleeve,13
10,B0DPQ9MVL5,https://www.amazon.com/dp/B0DPQ9MVL5,Alaroo Womens Summer Tops Short Sleeve Shirts Crew Neck Tshirt Cute Trendy Tunic Blouses (S-3XL),Alaroo,7.98,$7.98,4.4,3289,"February 12, 2026",Basic / Essential Tee,Plus Size,Short Sleeve,11
11,B0DHXBBW26,https://www.amazon.com/dp/B0DHXBBW26,ANRABESS Women Short Sleeve Tops Scoop Neck Ribbed Knit Slim Fitted Basic Tee Shirt Casual Summer Clothes 2026 Spring Outfits,ANRABESS,8.99,$8.99,4.6,3280,"September 25, 2024",Scoop Neck Tee,Fitted/Slim,Short Sleeve,13
12,B0CXPJ575D,https://www.amazon.com/dp/B0CXPJ575D,Kumufenc Women Short Sleeve Workout Shirts Open Back Tops Casual Yoga Y2k Athletic Gym Slouchy Crop Running Tees,Kumufenc,13.01,$13.01,4.5,1847,"March 11, 2024",Crop Top,Regular,Crop,13
13,B0DHS2DKYP,https://www.amazon.com/dp/B0DHS2DKYP,SAMPEEL Womens Summer Tops Trendy 2025 Ruched Cap Short Sleeve Tshirts Shirts Crew Neck T Shirts Fashion,Sampeel,8.99,$8.99,4.5,4059,"December 29, 2024",Basic / Essential Tee,Regular,Short Sleeve,10
14,B09SNTBDKQ,https://www.amazon.com/dp/B09SNTBDKQ,"AUTOMET Women's Soft Basic Short Sleeve T-Shirt, Round Neck Tops Summer Casual Tee for Spring Shirts Clothes Everyday Wear",AUTOMET,7.99,$7.99,4.5,5565,"September 4, 2023",Basic / Essential Tee,Regular,Short Sleeve,13
15,B0FN7QGW7D,https://www.amazon.com/dp/B0FN7QGW7D,WIHOLL Womens Tops Short Sleeve Shirts Summer Outfits 2026 Spring Dressy Casual Clothes Clothing,WIHOLL,7.99,$7.99,4.4,381,"October 31, 2025",Other T-Shirt,Regular,Short Sleeve,12
16,B0CRV8WNS8,https://www.amazon.com/dp/B0CRV8WNS8,AUTOMET T-Shirts Short Sleeve V Neck Tees Tops for Women Fashion Trendy Lightweight Soft Casual Summer Outfits Clothes 2026,AUTOMET,8.99,$8.99,4.4,4603,"January 9, 2024",V-Neck T-Shirt,Regular,Short Sleeve,13
